what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1301001202330
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1301001202330
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1301001202332
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1301001202332
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1301001202333
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1301001202334
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1301001202336
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1301001202337
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1301001202338
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1301001202339
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1301001202339
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1301001202340
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1301001202341
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1301001202342
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1301001202343
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1301001202344
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1301001202345
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1301001202345
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1301001202347
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1301001202347
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1301001202348
os,sysinfo,,,"win32",1301001202352
arch,sysinfo,,,"x86_64",1301001202352
ws,sysinfo,,,"win32",1301001202352
locale,sysinfo,,,"en_US",1301001202352
processors,sysinfo,,,"4",1301001202352
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301001202352
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1301001202352
java.specification.name,sysinfo,,,"Java Platform API Specification",1301001202352
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301001202352
java.specification.version,sysinfo,,,"1.6",1301001202352
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301001202352
java.version,sysinfo,,,"1.6.0_22",1301001202352
java.vm.info,sysinfo,,,"mixed mode",1301001202352
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1301001202352
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301001202352
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301001202352
java.vm.specification.version,sysinfo,,,"1.0",1301001202352
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301001202352
java.vm.version,sysinfo,,,"17.1-b03",1301001202352
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1301001203535
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001203988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001215340
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1301001216649
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1301001223551
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1301001223684
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001223773
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001223937
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1301001224540
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301001226023
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001226242
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001226361
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301001228330
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001231553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001266638
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001266684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001282109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001425830
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301001425859
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301001432299
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001441229
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301001442640
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1301001443673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001445977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001461869
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001466007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001482052
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001483965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001488003
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001494056
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001494157
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1301001494208
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1301001500533
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1301001502772
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1301001502811
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1301001522165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001523208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001609017
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301001612070
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301001613596
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001613859
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001613958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1301001616170
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301001616650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001617466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301001633391
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301001633421
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001636448
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301001636541
